NroCOntrol	PlantaTipo	LugarPago	Escuela	Juris	Prog	SubP	Actividad	fuente	dias_trabajados	haberSinAporte	haberConAporte	total_haberes	total_descuentos	total_liquido	C01	I01	C02	I02	C03	I03	C04	I04	C05	I05	C06	I06	C07	I07	C08	I08	mes	anio
59108442	D	59106	80443	55	15	07	01	R	030	000577568	002165858	002743426	000389855	002353571	521	002165858	522	000577568	602	000281562	615	000108293	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59118413	D	59106	80435	55	15	07	01	R	030	000176620	002065065	002241685	000371711	001869974	521	002065065	522	000176620	602	000268458	615	000103253	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59121733	D	59106	80435	55	15	07	01	R	030	000553286	001808363	002361649	000325505	002036144	521	001808363	522	000553286	602	000235087	615	000090418	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59125114	D	59106	80435	55	15	07	01	R	030	000558194	001880210	002438404	000338438	002099966	521	001880210	522	000558194	602	000244427	615	000094011	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59129723	D	59106	80443	55	15	07	01	R	030	000167368	001929604	002096972	000347329	001749643	521	001929604	522	000167368	602	000250849	615	000096480	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59134561	D	59106	80443	55	15	07	01	R	030	000568338	002065065	002633403	000413012	002220391	521	002065065	522	000568338	602	000268458	615	000103253	616	000041301	663	000000000	664	000000000	665	000000000	11	22
59135101	D	59106	80451	55	15	07	01	R	030	000175379	002065065	002240444	000392362	001848082	521	002065065	522	000175379	602	000268458	615	000103253	616	000020651	663	000000000	664	000000000	665	000000000	11	22
59138861	D	59122	80443	55	15	07	01	R	030	000074840	002065065	002139905	000464639	001675266	521	002065065	522	000074840	602	000268458	615	000103253	616	000000000	663	000000000	664	000000000	665	000092928	11	22
59143303	D	59106	80443	55	15	07	01	R	030	000403111	001807989	002211100	000325438	001885662	521	001807989	522	000403111	602	000235039	615	000090399	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59144493	D	59106	80451	55	15	07	01	R	030	000183368	002163853	002347221	000389494	001957727	521	002163853	522	000183368	602	000281301	615	000108193	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59146301	D	59122	80451	55	15	01	01	R	030	000252738	003179432	003432170	000572298	002859872	521	003179432	522	000252738	602	000413326	615	000158972	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59148251	D	59106	80443	55	15	07	01	R	030	000176620	002065065	002241685	000371711	001869974	521	002065065	522	000176620	602	000268458	615	000103253	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59148691	D	59106	80451	55	15	07	01	R	030	000183368	002163853	002347221	000389494	001957727	521	002163853	522	000183368	602	000281301	615	000108193	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59150224	D	59106	80443	55	15	07	01	R	030	000158115	001794144	001952259	000322946	001629313	521	001794144	522	000158115	602	000233239	615	000089707	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59151822	D	59122	80451	55	15	07	01	R	030	000148837	001658309	001807146	000298495	001508651	521	001658309	522	000148837	602	000215580	615	000082915	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59073163	D	59114	80435	55	15	07	01	R	030	000577926	002171096	002749022	000390797	002358225	521	002171096	522	000577926	602	000282242	615	000108555	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59074143	D	59106	80443	55	15	07	01	R	030	000530976	002169092	002700068	000390437	002309631	521	002169092	522	000530976	602	000281982	615	000108455	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59077743	D	59106	80443	55	15	07	01	R	030	000176620	002065065	002241685	000371711	001869974	521	002065065	522	000176620	602	000268458	615	000103253	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59085924	D	59106	80435	55	15	07	01	R	030	000177412	002163853	002341265	000486867	001854398	521	002163853	522	000177412	602	000281301	615	000108193	616	000000000	663	000000000	664	000000000	665	000097373	11	22
59092764	D	59106	80443	55	15	07	01	R	030	000171994	001997334	002169328	000359520	001809808	521	001997334	522	000171994	602	000259653	615	000099867	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59096852	D	59114	80443	55	15	07	01	R	030	000074840	001794144	001868984	000322946	001546038	521	001794144	522	000074840	602	000233239	615	000089707	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59098422	D	59114	80443	55	15	01	01	R	030	000074840	002065065	002139905	000371711	001768194	521	002065065	522	000074840	602	000268458	615	000103253	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59104765	D	59106	80435	55	15	07	01	R	030	000176620	002065065	002241685	000371711	001869974	521	002065065	522	000176620	602	000268458	615	000103253	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59113853	D	59106	80451	55	15	01	01	R	030	000184113	002214745	002398858	000442949	001955909	521	002214745	522	000184113	602	000287917	615	000110737	616	000044295	663	000000000	664	000000000	665	000000000	11	22
